Description,Currency_Time,Prerequisite_1,Remarks,Offline,Availability,Website,Local_Fees,Prerequisite_2_grade,City,Country,Course,Distance,Blended,Face_to_Face,Duration,Prerequisite_1_grade,Level_Code,Career_Outcomes,Faculty,Currency,Part_Time,Online,Prerequisite_2,Int_Fees,Full_Time,University,Duration_Time,Course_Lang,Prerequisite_3_grade,Prerequisite_3
"You’re invited to join us for our special virtual networking event to celebrate our dux award recipients from Semester 2 2019.  This event will be available for your friends and families to attend with more details to follow.  If you are a graduate and would like to attend, please RSVP to the Events Team via events@governanceinsititute.com.au Details: Virtual dux award presentation - please ensure you have access to a camera and microphone Time: WA: 2:00 - 3:00 PM AWST QLD: 4:00 - 5:00 PM AEST ACT, NSW & VIC: 5:00 - 6:00 PM AEDT We look forward to seeing you there.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04990/virtual-national-dux-awards-celebrate-with-go?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,0.00 Member / 0.00 Subscriber / 0.00 Non-member,,Online,,Virtual National Dux awards - celebrate with Governance Institute,no,no,yes,0,,VOC,,Humanities and Social Science,AUD,yes,yes,,0.00 Member / 0.00 Subscriber / 0.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. Examine the importance of managing and mitigating the impact of risk within an organisation. This practical course will provide you with: This is an interactive course recommended for those who have risk responsibilities in their role (and are looking to consolidate or refresh their knowledge), or those wishing to move into the risk field. Who should attend this event? View the course outline  Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03290/assessing-analysing-and-treating-risk?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Perth,,"Assessing, Analysing and Treating Risk",no,no,yes,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. The Certificate in Governance and Risk Management provides essential knowledge for anyone with governance and risk management responsibilities. Designed and taught by experienced practitioners, you will gain a clear introduction to specialist topic areas and the important issues in relation to governance and risk management principles, frameworks and approaches. Find out more about the Certificate in Governance and Risk Management We offer the opportunity to complete this highly regarded in a convenient, intensive mode of study. The intensive Certificate allows students to complete the required six short courses over three consecutive days. Over three days, you’ll complete the following short courses: Day 1 Assessing Analysing and Treating Risk Governance and Risk Management Day 2Meeting Compliance RequirementsRisk Management Frameworks Day 3Project Governance Accountability and Risk Management Business Continuity and Reputation Risk There are no prerequisites required for entry to the Certificates, so anyone can study. If you don’t need the full Certificate, you can register for the short courses that suit your needs. The Certificate fee includes the six short courses scheduled above and: a downloadable soft copy of the course materials prior to each short course an online exam for each course, which must be completed within 30 days from the first day of attendance eligibility to apply for Membership of Governance Institute If you complete the Certificate and pass the corresponding online exams, you’ll be eligible to apply for Affiliated membership and gain the nationally recognised postnominal GIA(Affiliated). You may already be eligible for membership via our professional entry scheme. Apply for membership in advance to receive a discount of $110 per short course. That’s a saving of up to $660 for the entire Certificate. Find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03296/certificate-in-governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",,Perth,,Certificate in Governance and Risk Management,no,no,yes,21,,VOC,,Humanities and Social Science,AUD,yes,yes,,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. The Certificate in Governance and Risk Management provides essential knowledge for anyone with governance and risk management responsibilities. Designed and taught by experienced practitioners, you will gain a clear introduction to specialist topic areas and the important issues in relation to governance and risk management principles, frameworks and approaches. Find out more about the Certificate in Governance and Risk Management We offer the opportunity to complete this highly regarded in a convenient, intensive mode of study. The intensive Certificate allows students to complete the required six short courses over three consecutive days. Over three days, you’ll complete the following short courses: Day 1 Governance and Risk Management Assessing Analysing and Treating Risk Day 2 Meeting Compliance Requirements Risk Management Frameworks Day 3Project Governance Accountability and Risk Management Business Continuity and Reputation Risk There are no prerequisites required for entry to the Certificates, so anyone can study. If you don’t need the full Certificate, you can register for the short courses that suit your needs. The Certificate fee includes the six short courses scheduled above and: a downloadable soft copy of the course materials prior to each short course an online exam for each course, which must be completed within 30 days from the first day of attendance eligibility to apply for Membership of Governance Institute If you complete the Certificate and pass the corresponding online exams, you’ll be eligible to apply for Affiliated membership and gain the nationally recognised postnominal GIA(Affiliated). You may already be eligible for membership via our professional entry scheme. Apply for membership in advance to receive a discount of $110 per short course. That’s a saving of up to $660 for the entire Certificate. Find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03892/certificate-in-governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",,Online,,Certificate in Governance and Risk Management,no,no,yes,21,,VOC,,Humanities and Social Science,AUD,yes,yes,,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. Explores how governance and risk management are essential to an organisation’s improved corporate performance. This course offers an overview of the role of the board in governance and risk management; it examines current issues and explores best practice in strategic risk management. The key objectives are to: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.,year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03893/governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Governance and Risk Management,no,no,yes,3.5,,VOC,,Humanities and Social Science,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. Explores how governance and risk management are essential to an organisation’s improved corporate performance. This course offers an overview of the role of the board in governance and risk management; it examines current issues and explores best practice in strategic risk management. The key objectives are to: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.,year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03291/governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Perth,,Governance and Risk Management,no,no,yes,3.5,,VOC,,Humanities and Social Science,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. Examine the importance of managing and mitigating the impact of risk within an organisation. This practical course will provide you with: This is an interactive course recommended for those who have risk responsibilities in their role (and are looking to consolidate or refresh their knowledge), or those wishing to move into the risk field. Who should attend this event? View the course outline  Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03894/assessing-analysing-and-treating-risk?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,"Assessing, Analysing and Treating Risk",no,no,yes,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. This half-day course focuses on the role of an effective compliance framework as an integral part of an organisation’s overall business strategy. In this course, you will: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03292/meeting-compliance-requirements?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Perth,,Meeting Compliance Requirements,no,no,yes,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. This half-day course focuses on the role of an effective compliance framework as an integral part of an organisation’s overall business strategy. In this course, you will: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03895/meeting-compliance-requirements?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Meeting Compliance Requirements,no,no,yes,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. A half-day course delivering practical information on managing risk within your organisation’s regulatory and governance frameworks. This course provides participants with: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.,year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03293/risk-management-frameworks?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Perth,,Risk Management Frameworks,no,no,yes,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. A half-day course delivering practical information on managing risk within your organisation’s regulatory and governance frameworks. This course provides participants with: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.,year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03896/risk-management-frameworks?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Risk Management Frameworks,no,no,yes,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. A half-day course delivering practical information on managing risk within your organisation’s regulatory and governance frameworks. This course provides participants with: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.,year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03639/practical-on-the-job-skills-for-company-secre?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,,,Online,,Risk Management Frameworks,no,no,yes,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. A half-day course delivering practical information on managing risk within your organisation’s regulatory and governance frameworks. This course provides participants with: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.,year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03639/practical-on-the-job-skills-for-company-secre?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,,,Sydney,,Risk Management Frameworks,no,no,yes,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. This practical half-day course focuses on key objectives and elements of effective project governance, and explains why conventional project management techniques are only half the story.  To ensure your organisation’s critical projects are delivered on time and within budget, you should attend this course.   The course offers a practical guide to governance within a project management environment, and includes: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03294/project-governance-accountability-and-risk-ma?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Perth,,Project Governance: Accountability and Risk Management,no,no,yes,3.5,,VOC,,Humanities and Social Science,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. This practical half-day course focuses on key objectives and elements of effective project governance, and explains why conventional project management techniques are only half the story.  To ensure your organisation’s critical projects are delivered on time and within budget, you should attend this course.   The course offers a practical guide to governance within a project management environment, and includes: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03897/project-governance-accountability-and-risk-ma?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Project Governance: Accountability and Risk Management,no,no,yes,3.5,,VOC,,Humanities and Social Science,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. A practical, full-day course covering the key elements of company secretarial practice.  If you need to enhance your knowledge of company secretarial duties and responsibilities, this is the course you should attend. Utilising practical case studies and hypothetical scenarios, you’ll acquire the tools necessary to perform confidently in your dual role.  The course covers duties under the Corporations Act 2001 as well as exploring key aspects of statutory compliance. Supported by a suite of resources, this course is highly recommended for governance professionals.   Who should attend? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03899/practical-on-the-job-skills-for-company-secre?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"970.00 Member / 1,130.00 Subscriber / 1,190.00 Non-member",,Online,,Practical On-the-Job Skills for Company Secretaries,no,no,yes,7,,VOC,,Humanities and Social Science,AUD,yes,yes,,"970.00 Member / 1,130.00 Subscriber / 1,190.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. This half-day course focuses on the recovery of your business in the event of a crisis or disaster. Organisations must be fully equipped to respond effectively to disasters or other extraordinary circumstances that cause major disruption to normal operations. The most widely accepted strategy for addressing the risks of major disruption to operations is to implement a business continuity plan (BCP). Having a business continuity plan, as well as plans to protect the organisation’s public reputation in the immediate aftermath of a major unplanned event or crisis, is a critical aspect of an organisation’s risk management framework. In this course, participants will: Who should attend? View the course outline  Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03295/business-continuity-and-reputation-risk?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Perth,,Business Continuity and Reputation Risk,no,no,yes,3.5,,VOC,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"We are pleased to deliver this short course in a face-to-face format from July. Read more about how we are doing this safely. This half-day course focuses on the recovery of your business in the event of a crisis or disaster. Organisations must be fully equipped to respond effectively to disasters or other extraordinary circumstances that cause major disruption to normal operations. The most widely accepted strategy for addressing the risks of major disruption to operations is to implement a business continuity plan (BCP). Having a business continuity plan, as well as plans to protect the organisation’s public reputation in the immediate aftermath of a major unplanned event or crisis, is a critical aspect of an organisation’s risk management framework. In this course, participants will: Who should attend? View the course outline  Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03898/business-continuity-and-reputation-risk?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Business Continuity and Reputation Risk,no,no,yes,3.5,,VOC,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
Get ready for the new year by attending a short course that will place you in good stead for 2021. Governance experts will assist you to develop your skills and understanding of preparing board papers and key challenges of this process. Media and regulators’ criticism of corporate governance processes is often directed at how much the board didn’t know. Dense voluminous board packs will distract director attention from imminent risk and performance problems in your organisation. Improve director and officer oversight and insight into your organisation with improved board reporting. This practical workshop is aimed at professionals who require advanced capability in writing and structuring papers for committees and boards across all sectors. It's highly relevant for:,year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E05017/virtual-workshop-preparing-board-papers?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,395.00 Member / 470.00 Subscriber / 495.00 Non-member,,Online,,Virtual Workshop: Preparing board papers,no,no,yes,3.5,,VOC,,Education,AUD,yes,yes,,395.00 Member / 470.00 Subscriber / 495.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"Get ready for the new year by attending a short course that will place you in good stead for 2021. Governance experts will assist you to develop your skills and understanding of preparing board papers and key challenges of this process. Media and regulators’ criticism of corporate governance processes is often directed at how much the board didn’t know. Dense voluminous board packs will distract director attention from imminent risk and performance problems in your organisation. Improve director and officer oversight and insight into your organisation with improved board reporting.  Nathan Bartrop FGIA FCIS, Governance Advisor, Boardroom Governance Nathan has been Company Secretary of various listed and unlisted entities over a 10 year period. Nathan is also a former ASX Listings Compliance adviser both in Perth and in Sydney. He has experience across the lifecycle of a company, from inception, listing, development and growth to takeovers and deregistration. Nathan has actively assisted ASX Listed and unlisted companies’ navigating issues in relation to ASX listing rules, corporate governance, share registry, regulatory and Corporations Act matters. Nathan is a Fellow of the Governance Institute and is actively involved in various committees and projects at Governance Institute. He is a member of the WA State Council. This practical workshop is aimed at professionals who require advanced capability in writing and structuring papers for committees and boards across all sectors. It's highly relevant for:",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E05020/workshop-preparing-board-papers?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,395.00 Member / 470.00 Subscriber / 495.00 Non-member,,Sydney,,Workshop: Preparing board papers,no,no,no,3.5,,VOC,,Education,AUD,yes,no,,395.00 Member / 470.00 Subscriber / 495.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"Get ready for the new year by attending a short course that will place you in good stead for 2021. Governance experts will assist you to develop your skills and understanding of preparing board papers and key challenges of this process. Media and regulators’ criticism of corporate governance processes is often directed at how much the board didn’t know. Dense voluminous board packs will distract director attention from imminent risk and performance problems in your organisation. Improve director and officer oversight and insight into your organisation with improved board reporting.  Nathan Bartrop FGIA FCIS, Governance Advisor, Boardroom Governance Nathan has been Company Secretary of various listed and unlisted entities over a 10 year period. Nathan is also a former ASX Listings Compliance adviser both in Perth and in Sydney. He has experience across the lifecycle of a company, from inception, listing, development and growth to takeovers and deregistration. Nathan has actively assisted ASX Listed and unlisted companies’ navigating issues in relation to ASX listing rules, corporate governance, share registry, regulatory and Corporations Act matters. Nathan is a Fellow of the Governance Institute and is actively involved in various committees and projects at Governance Institute. He is a member of the WA State Council. This practical workshop is aimed at professionals who require advanced capability in writing and structuring papers for committees and boards across all sectors. It's highly relevant for:",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E05020/workshop-preparing-board-papers?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,395.00 Member / 470.00 Subscriber / 495.00 Non-member,,Perth,,Workshop: Preparing board papers,no,no,no,3.5,,VOC,,Education,AUD,yes,no,,395.00 Member / 470.00 Subscriber / 495.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"Get ready for the new year by attending a short course that will place you in good stead for 2021. Governance experts will assist you to develop your skills and understanding of preparing board papers and key challenges of this process. Media and regulators’ criticism of corporate governance processes is often directed at how much the board didn’t know. Dense voluminous board packs will distract director attention from imminent risk and performance problems in your organisation. Improve director and officer oversight and insight into your organisation with improved board reporting. Jo-Anne Harrison FGIA FCG, Managing Director, Sila Projects & Consulting Jo-Anne is a commercially astute Executive with over 20 years’ experience in executive and non-executive leadership, organisational restructuring, cultural change, complex programme management, change management, stakeholder engagement and governance roles. Jo-Anne’s proven record of organisational cultural change through innovation, business focus and exemplary management of complex commercial environments provides a valuable perspective, as well as an ability to set and drive an ambitious strategic direction while delivering outstanding results. She is particularly effective in achieving sustainable commercial outcomes across dispersed portfolios and workforces. This practical workshop is aimed at professionals who require advanced capability in writing and structuring papers for committees and boards across all sectors. It's highly relevant for:",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E05021/workshop-preparing-board-papers?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,395.00 Member / 470.00 Subscriber / 495.00 Non-member,,Sydney,,Workshop: Preparing board papers,no,no,yes,3.5,,VOC,,Education,AUD,yes,no,,395.00 Member / 470.00 Subscriber / 495.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
Explores how governance and risk management are essential to an organisation’s improved corporate performance. This course offers an overview of the role of the board in governance and risk management; it examines current issues and explores best practice in strategic risk management. The key objectives are to: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.,year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04580/governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Sydney,,Governance and Risk Management,no,no,yes,3.5,,VOC,,Humanities and Social Science,AUD,yes,no,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"Certificate in Governance Risk Management (Intensive) The Certificate in Governance and Risk Management provides essential knowledge for anyone with governance and risk management responsibilities. Designed and taught by experienced practitioners, you will gain a clear introduction to specialist topic areas and the important issues in relation to governance and risk management principles, frameworks and approaches. Find out more about the Certificate in Governance and Risk Management We offer the opportunity to complete this highly regarded in a convenient, intensive mode of study. The intensive Certificate allows students to complete the required six short courses over three consecutive days. Over three days, you’ll complete the following short courses: Day 1 Governance and Risk Management Meeting Compliance Requirements Day 2 Assessing, Analysing and Treating Risk Risk Management frameworks Day 3 Project Governance: Accountability and Risk Management Business Continuity and Reputation Risk Entry conditions There are no prerequisites required for entry to the Certificates, so anyone can study. If you don’t need the full Certificate, you can register for the short courses that suit your needs. What’s included? The Certificate fee includes the six short courses scheduled above and: Become a member and save If you complete the Certificate and pass the corresponding online exams, you’ll be eligible to apply for Affiliated membership and gain the nationally recognised postnominal GIA(Affiliated). You may already be eligible for membership via our professional entry scheme. Apply for membership in advance to receive a discount of $110 per short course. That’s a saving of up to $660 for the entire Certificate. Find out if you are eligible. ",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04589/certificate-in-governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",,Sydney,,Certificate in Governance and Risk Management,no,no,yes,21,,VOC,,Humanities and Social Science,AUD,yes,no,,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
"The Certificate in Governance and Risk Management provides essential knowledge for anyone with governance and risk management responsibilities. Designed and taught by experienced practitioners, you will gain a clear introduction to specialist topic areas and the important issues in relation to governance and risk management principles, frameworks and approaches. Find out more about the Certificate in Governance and Risk Management We offer the opportunity to complete this highly regarded in a convenient, intensive mode of study. The intensive Certificate allows students to complete the required six short courses over three consecutive days. Over three days, you’ll complete the following short courses: Day 1 Governance and Risk Management Assessing Analysing and Treating Risk Day 2 Meeting Compliance Requirements Risk Management Frameworks Day 3 Risk Management Essentials Business Continuity and Reputation Risk You can register for the short course electives that suit your needs. To do so, please take a look at our full list of short courses here or take a look at some of the short courses we have coming up in your state here. Please contact customerservice@governanceinstitute.com.au if you have any questions about which short course is best suited for you. There are no prerequisites required for entry to the Certificates, so anyone can study. If you don’t need the full Certificate, you can register for the short courses that suit your needs. The Certificate fee includes the six short courses scheduled above and: If you complete the Certificate and pass the corresponding online exams, you’ll be eligible to apply for Affiliated membership and gain the nationally recognised postnominal GIA(Affiliated). You may already be eligible for membership via our professional entry scheme. Apply for membership in advance to receive a discount of $110 per short course. That’s a saving of up to $660 for the entire Certificate. Find out if you are eligible",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04532/certificate-in-governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",,Online,,Certificate in Governance and Risk Management,no,no,yes,21,,VOC,,Humanities and Social Science,AUD,yes,yes,,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
Explores how governance and risk management are essential to an organisation’s improved corporate performance. This course offers an overview of the role of the board in governance and risk management; it examines current issues and explores best practice in strategic risk management. The key objectives are to: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.,year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04536/governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Governance and Risk Management,no,no,yes,3.5,,VOC,,Humanities and Social Science,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"This half-day course focuses on the role of an effective compliance framework as an integral part of an organisation’s overall business strategy. In this course, you will: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04581/meeting-compliance-requirements?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Sydney,,Meeting Compliance Requirements,no,no,yes,3.5,,VOC,,Humanities and Social Science,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
